gameName,gameUrl,contentType,discount
Full Game – Dollar Dash,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D80258411283,Xbox 360,75%
Full Game – Giana Sisters: Twisted Dreams,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D802584113D6,Xbox 360,75%
Full Game – Mighty No. 9,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802584114A4,Xbox 360,95%
Geon: Emotions,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D80258410844,Xbox 360,85%
Gun,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D802415607D3,Xbox 360,50%
Handball 16,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D802573607E4,Xbox 360,90%
Homefront,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80254510846,Xbox 360,95%
Hunter’s Trophy 2 – America,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D802584113C9,Xbox 360,90%
Hunter’s Trophy 2 – Australia,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D802584113CA,Xbox 360,90%
IHF Handball Challenge 14,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802573607D9,Xbox 360,90%
Just Dance 2014,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802555308C1,Xbox 360,80%
Just Dance 2015,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802555308CD,Xbox 360,80%
Just Dance 2016,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802555308D3,Xbox 360,80%
Just Dance 2018,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802555308D5,Xbox 360,80%
Just Dance 2019,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802555308D9,Xbox 360,80%
Kane and Lynch: Dead Men,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802534307E0,Xbox 360,85%
Leedmees,https://marketplace.xbox.com/en-US/Product/66acd000-77fe-1000-9115-d802584111d5,Xbox 360,75%
Legend of Kay Anniversary,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802354807DD,Xbox 360,75%
